CK,CFA2031GD,CFA2031GD,5
CK,CFA2031GP,2,5
CK,CFA2031G,3,5
CK,CFA2031HP,4,5
CK,CFA2031H,6,5
CK,CFA5037XQCD,CFA5037XQCD,5
CK,CFA2031HT,CFA2031HT,5
CK,CFA2031EP,CFA2031EP,5
CK,CFA2031GDJ,CFA2031GDJ,5
CK,CFA2031HLP,CFA2031HLP,5
CK,CFA5037XQCCP,CFA5037XQCCP,5
CK,CFA2031A,CFA2031A,5
CK,CFA2031F,CFA2031F,5
CK,CFA2031F8,CFA2031F8,5
CK,CFA2031D,CFA2031D,5
CK,CFA2031AG,CFA2031AG,5
CK,CFA2031AGJ,CFA2031AGJ,5
CK,CFA5037XZHCD,CFA5037XZHCD,5
CK,CFA2031E,CFA2031E,5
CK,CFA5037XQCDP,CFA5037XQCDP,5
CK,CFA2031AP,CFA2031AP,5
CK,CFA2031HL,CFA2031HL,5
CK,CFA2031GDH,V73WLNDVGLXH,5
CK,CFA2031GDM,V73WLNDVGLXN,5
CK,CFA2031GPH,V73WLNJVGLXW,5
CK,CFA2031GPM,V73WLNHVGLXY,5
CK,CFA2031HPH,V73WLRHVGLXU,5
CK,CFA2031HPM,V73WLRHVGLXN,5
CK,CFA2031GH,V73WLNXVGLXW,5
CK,CFA2031GM,V73WLNXVGLXY,5
CK,CFA2031HM,V73WLRXVGLXN,5
CK,CFA2031HH,V73WLRXVGLXU,5
CK,CFA2031HJ,CFA2031HJ,5
CK,CFA5037XZHAP,CFA5037XZHAP,5
CK,CFA5037XZHCP,CFA5037XZHCP,5
CK,CFA2031GJ,CFA2031GJ,5
CK,CFA2031GDW,CFA2031GDW,5
CK,CFA5037XQCB,CFA5037XQCB,5
ZC,GMC6430A,GA1WXNSHLC,5
ZC,GMC6431A,GA2WXNSHLC,5
ZC,GMC6431B,GA2WXTHHLC,5
ZC,GMC6431C,GA2WXTHHZLC,5
ZC,GMC6431CT,GA2WXTPHZLC,5
ZC,GMC6430B,GA1WXNSGLC,5
ZC,GMC6431D,GA2WXNSGLC,5
ZC,GMC6431E,GA2WXTHGLC,5
ZC,GMC6431F,GA2WXTHGZLC,5
ZC,GMC6431FT,GA2WXTPGZLC,5