BM,BMY2031GD,BMY2031GD,5
BM,BMY2031GP,2,5
BM,BMY2031G,3,5
BM,BMY2031HP,4,5
BM,BMY2031H,6,5
BM,BMY5037XQCD,BMY5037XQCD,5
BM,BMY2031HT,BMY2031HT,5
BM,BMY2031EP,BMY2031EP,5
BM,BMY2031GDJ,BMY2031GDJ,5
BM,BMY2031HLP,BMY2031HLP,5
BM,BMY5037XQCCP,BMY5037XQCCP,5
BM,BMY2031A,BMY2031A,5
BM,BMY2031F,BMY2031F,5
BM,BMY2031F8,BMY2031F8,5
BM,BMY2031D,BMY2031D,5
BM,BMY2031AG,BMY2031AG,5
BM,BMY2031AGJ,BMY2031AGJ,5
BM,BMY5037XZHCD,BMY5037XZHCD,5
BM,BMY2031E,BMY2031E,5
BM,BMY5037XQCDP,BMY5037XQCDP,5
BM,BMY2031AP,BMY2031AP,5
BM,BMY2031HL,BMY2031HL,5
BM,BMY2031GDH,Z84WLNDVGLXH,5
BM,BMY2031GDM,Z84WLNDVGLXN,5
BM,BMY2031GPH,Z84WLNJVGLXW,5
BM,BMY2031GPM,Z84WLNHVGLXY,5
BM,BMY2031HPH,Z84WLRHVGLXU,5
BM,BMY2031HPM,Z84WLRHVGLXN,5
BM,BMY2031GH,Z84WLNXVGLXW,5
BM,BMY2031GM,Z84WLNXVGLXY,5
BM,BMY2031HM,Z84WLRXVGLXN,5
BM,BMY2031HH,Z84WLRXVGLXU,5
BM,BMY2031HJ,BMY2031HJ,5
BM,BMY5037XZHAP,BMY5037XZHAP,5
BM,BMY5037XZHCP,BMY5037XZHCP,5
BM,BMY2031GJ,BMY2031GJ,5
BM,BMY2031GDW,BMY2031GDW,5
BM,BMY5037XQCB,BMY5037XQCB,5
BZ,BMX6430A,BM1WXNSHLC,5
BZ,BMX6431A,BM3WXNSHLC,5
BZ,BMX6431B,BM3WXTHHLC,5
BZ,BMX6431C,BM3WXTHHZLC,5
BZ,BMX6431CT,BM3WXTPHZLC,5
BZ,BMX6430B,BM1WXNSGLC,5
BZ,BMX6431D,BM3WXNSGLC,5
BZ,BMX6431E,BM3WXTHGLC,5
BZ,BMX6431F,BM3WXTHGZLC,5
BZ,BMX6431FT,BM3WXTPGZLC,5